traditional,simplified,pronunciation,audio,radical,definitions,pos
腹肚尾,腹肚尾,pak-tóo-bué/pak-tóo-bé,9938,,指下腹部。,名
腹肚枵,腹肚枵,pak-tóo-iau,9939,,肚子餓。,熟
腹肚若水櫃，胸坎若樓梯。,腹肚若水柜，胸坎若楼梯。,"Pak-tóo ná tsuí-kuī, hing-khám ná lâu-thui. ",60326,,肚子像水箱一樣凸起，胸前肋骨像樓梯一根根突現。形容人營養不良的模樣。,
腹腸,腹肠,pak-tn̂g,14446,,肚子。|心胸、度量。|心機。,名|名|名
腿,腿,thuí,10787,肉,動物的下肢。,名
腿庫,腿库,thuí-khòo,10801,,蹄膀、肘子。豬後肢的上面部位，肉多且富脂肪，常拿來紅燒。,名
膀胱,膀胱,phông-kong,10802,,泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。又作「小肚」(sió-tōo )。,名
膁肚,膁肚,liám-tóo,10795,,魚肚肉。這個部位的肉有豐富的油質，肉質特別可口。,名
膎,膎,kê/kuê,10813,肉,以鹽醃製的魚蝦、肉類。,名
膏,膏,ko,10814,肉,濃稠的東西。|濃稠的樣子。,名|形
膏肓,膏肓,koo-bông,10826,,人體心臟和橫膈膜之間的部位。舊說以為是藥效無法到達處。引申為病症已達難治的階段。|位於肩背部的穴道，約在背部第四胸椎棘突起下方外側三寸處的穴道。,名|名
膏膏纏,膏膏缠,ko-ko-tînn,10831,,胡攪蠻纏。不講道理的任意糾纏別人。,動
膏藥,膏药,koo-io̍h,10833,,傳統中醫把藥物浸於麻油內，再放於鍋中煎熬、去渣至濃稠狀。加入黃丹拌勻，離火後等藥物凝固，而放置涼水中去火毒，即成膏藥。使用時先加熱使其軟化，平鋪於布或薄油紙上，再貼上患部。,名
膚,肤,hu,11338,肉,身體的表層。,名
膜,膜,mo̍oh,11339,肉,動、植物體內的薄皮組織。|性質、外觀近似於膜的物品。,名|名
膠,胶,ka,11340,肉,由植物分泌或動物皮、骨、角熬製而成的黏稠狀液體，也有經由人工合成的。,名
膣,膣,tsi,11341,肉,女性生殖器。常用於罵人，是很粗俗的用法。,名
膣屄,膣屄,tsi-bai,11348,,屄。指女子的外生殖器官。,名
膨,膨,phòng,11891,肉,鼓脹、膨脹。|蓬鬆、有彈性、圓鼓鼓的東西。,動|形
膨床,膨床,phòng-tshn̂g,11898,,彈簧床。有彈簧裝置的床墊。,名
膨椅,膨椅,phòng-í,11909,,沙發、沙發椅。裝有彈簧或厚泡沫塑膠座墊的椅子。,名
膨獅獅,膨狮狮,phòng-sai-sai,11910,,形容毛髮膨鬆。|氣鼓鼓、氣乎乎。形容人生氣時兩腮鼓起。,形|形
膨疱,膨疱,phòng-phā,11901,,起水泡。起潦泡、潦漿泡。皮膚因火傷、燙傷或磨傷而形成水泡。,動
膨皮,膨皮,phòng-phuê/phòng-phê,11897,,形容臉頰飽滿豐盈的樣子。,形
膨粉,膨粉,phòng-hún,11904,,泡粉。早期一種化妝品，用高嶺土、雪花石膏粉、香料、色素為材料，可以當作粉底或腮紅。婦女會在七夕時用來祭拜織女「七娘媽」(Tshit-niû-má)，以祈求美貌。,名
膨紗,膨纱,phòng-se,11905,,毛線。,名
膨紗衫,膨纱衫,phòng-se-sann,11906,,毛線衣。用毛線所織成的衣服。,名
膨肚短命,膨肚短命,phòng-tōo-té-miā,11899,,凸肚子短命鬼。咒罵人早死的用語。,熟
膨風,膨风,phòng-hong,11902,,脹氣。|吹牛。誇口說大話。,動|動
膨風水雞刣無肉。,膨风水鸡刣无肉。,Phòng-hong tsuí-ke thâi bô bah. ,60355,,譏諷愛吹牛的人，喜歡說大話，一點本事也沒有。,
膨風龜,膨风龟,phòng-hong-ku,11903,,麵龜，一種用麵粉做成的食品，大多用在年節祭拜的時候。|指愛吹牛的人。,名|名
膨餅,膨饼,phòng-piánn,11912,,一種發酵製成的餅乾，可以加開水調食。|挨罵、碰釘子。,名|名
膨鼠,膨鼠,phòng-tshí/phòng-tshú,11911,,松鼠。外形像老鼠但大些，尾巴長且膨鬆，常棲於樹上，吃果實。,名
膩瓤,腻瓤,jī-nn̂g/lī-nn̂g,11916,,脂肪層。豬羊等牲畜皮下的脂肪層。|黃瓜、香瓜、苦瓜等瓜果類裡層混種子部分之通稱。,名|名
膭,膭,kuī,11892,肉,脹大凸起的肚子，指家畜類懷有身孕，若用於人則有嘲笑意謂。|稻子結成的一粒粒稻穗。,名|名
膭水,膭水,kuī-tsuí,11896,,水腫、浮腫。,動
膽,胆,tám,12328,肉,畏懼、害怕。|勇氣。古人認為勇氣由膽發出。,形|名
膽,胆,tánn,12329,肉,人體內臟之一。靠近肝的右半葉，所存的膽汁為黃綠色，味道極苦，用來協助消化。|勇氣。古人認為勇氣由膽發出。,名|名
膽肝,胆肝,tám-kuann,14665,,宜蘭名產，一種經過醃漬、煙燻的豬肝。也有人唸tap-kuann。,名
膽膽,胆胆,tám-tám,12376,,怕怕的。,形
膽量,胆量,tám-liōng,12363,,勇氣。勇往直前無所畏懼的氣魄。,名
膽頭,胆头,tánn-thâu,12373,,膽量、勇氣。,名
膿,脓,lâng,12330,肉,皮膚長瘡潰爛之後所流出的黃色汁液。,名
臆,臆,ioh,12331,肉,猜測。,動
臆出出,臆出出,ioh-tshut-tshut,12338,,早就料到、猜到；指很容易猜出來。,動
臊,臊,tsho,12332,肉,具有腥味的。|葷食。,形|名
臊菜,臊菜,tsho-tshài,12361,,葷菜。泛指肉類或含有辛辣刺激味道的食品、青菜等。,名
臍,脐,tsâi,12586,肉,人與其他哺乳動物腹部中央的皺摺圓點，在胎兒時期有臍帶與母體相連。|螃蟹腹部近尾端處的一片甲殼。,名|名
臘肉,腊肉,la̍h-bah,12858,,以鹽或醬醃漬，然後晒乾、風乾或燻乾的肉。,名
臣,臣,sîn,2609,臣,君王時代的官吏。,名
臨,临,lîm,12333,臣,來到、面對。,動
臨,临,lím,12334,臣,接近邊緣的樣子。|接近、不及、差一點。,形|動
臨急,临急,lîm-kip,12346,,臨危。瀕臨危險、緊急的狀況。,動
臨時,临时,lîm-sî,12351,,突發的，突如其來，沒有準備。|短時間、暫時的。,副|形
臨時臨曜,临时临曜,lîm-sî-lîm-iāu,14563,,未事先備妥，事到臨頭、一時之間。,熟
臨機應變,临机应变,lîm-ki-ìng-piàn,12370,,見機行事。指遇到事情，能用妥善方法加以處理、應付。,熟
臨檢,临检,lîm-kiám,12374,,警方為防治社會治安、衛生、風俗等方面不良或違法情事發生，或追緝犯人等，所執行的檢查勤務工作，通常不會事先告知。,動
臨終,临终,lîm-tsiong,12357,,人將要死。,動
臨臨仔,临临仔,lím-lím--á,12377,,差一點點兒。,副
自,自,tsū,2610,自,本身。|從某時開始。,代|介
自作孽,自作孽,tsū-tsok-gia̍t,2670,,自己所造的惡孽。,熟
自作自受,自作自受,tsū-tsok-tsū-siū,2669,,自己做錯事或者講錯話，由自己承擔後果。,熟
自作自專,自作自专,tsū-tsok-tsū-tsuan,14067,,擅作主張、獨斷獨行。見【大主大意】tuā-tsú-tuā-ì 條。,
自來,自来,tsū-lâi,7268,,從來。從以前到現在。,時
自來水,自来水,tsū-lâi-tsuí,2680,,見【水道水】tsuí-tō-tsuí 條。,
自信,自信,tsū-sìn,2701,,對自己能力的信心。,名
自修,自修,tsū-siu,2710,,沒有老師的指導，自己學習功課或修養德行。,動
自動,自动,tsū-tōng,2728,,不憑藉外在力量而自己主動作為。,形
自動車,自动车,tsū-tōng-tshia,2731,,汽車。源自日語。,名
自在,自在,tsū-tsāi,2662,,形容心境上的愉快、舒暢，不受拘束。,形
自家用的,自家用的,tsū-ka-iōng--ê ,14068,,指自家轎車；私人使用的。,名
自尊心,自尊心,tsū-tsun-sim,2747,,維護個人尊嚴，不容許他人歧視、輕蔑與侵犯的心理。,名
自己,自己,tsū-kí,2627,,本身。,名
自底,自底,tsū-té/tsū-tué,2687,,原本。,副
自強,自强,tsū-kiông,2734,,靠自己的力量奮發圖強。,動
自我,自我,tsū-ngóo,2671,,指個人自己。|以自己為中心的觀念。,代|形
自新,自新,tsū-sin,2771,,自己改正過錯，重新做人。,動
自早,自早,tsū-tsá,14066,,從前、從來、一向。,副
自本,自本,tsū-pún,13694,,原來、本來。,副
自然,自然,tsū-jiân/tsū-liân,2754,,天然，沒有經過人為加工的。,形
自由,自由,tsū-iû,2660,,指在法律範圍內的活動，有不受別人干涉的權利。|指人能依照自己的意志行事，不受外力拘束或限制。,名|形
自私,自私,tsū-su,2675,,只想到自己的利益，不顧及他人。,形
自立,自立,tsū-li̍p,2661,,以自己的力量獨立解決問題，不依賴他人。,動
自覺,自觉,tsū-kak,2837,,自己感覺到。|自己有所認識而覺悟。,動|動
自謙,自谦,tsū-khiam,2820,,自我謙虛。,動
自費,自费,tsū-huì,2766,,費用由自己負擔。,動
自轉車,自转车,tsū-tsuán-tshia,2826,,腳踏車。見【跤踏車】kha-ta̍h-tshia 條。源自日語。,
自頭,自头,tsū-thâu,2814,,從頭。自起初開始。,副
自首,自首,tsū-siú,2709,,犯罪者在犯罪的事實還沒被舉發之前，自行向有偵查權的機關坦承犯罪，接受其制裁。,動
臭,臭,tshàu,6553,自,形容味道難聞。,形
臭丸,臭丸,tshàu-uân,6564,,樟腦丸。用樟腦製成的小球。方便攜帶，可以殺蟲、避臭氣。,名
臭人,臭人,tshàu-lâng,6562,,品德惡劣，令人討厭的人。,名
臭喙角,臭喙角,tshàu-tshuì-kak,6608,,病名。多因缺乏維他命Ｂ群而引起。患者的口角和脣紅部位發生潰爛和乾裂。張嘴時有刺痛的感覺。,名
臭塗味,臭涂味,tshàu-thôo-bī,6615,,土味、土腥味。一種在蔬菜、淡水魚身上可聞到的土腥氣。,名
臭奶呆,臭奶呆,tshàu-ling-tai/tshàu-ni-tai,6575,,咬舌兒。說話時舌尖接觸牙齒，造成發音不清楚，形成童稚的聲音。,形
臭尿薟,臭尿莶,tshàu-jiō-hiam/tshàu-liō-hiam,6586,,尿臭味。,名
臭屁,臭屁,tshàu-phuì,6584,,形容人喜歡誇大炫耀，自以為是的樣子。,形
臭屁仙,臭屁仙,tshàu-phuì-sian,6585,,狂妄、自以為是的人。,名
臭彈,臭弹,tshàu-tuānn,6629,,吹牛、胡扯。,動
臭柿仔,臭柿仔,tshàu-khī-á,6597,,番茄。見【柑仔蜜】kam-á-bi̍t 條。,
臭殕,臭殕,tshàu-phú,6609,,發霉。東西因為受潮而長出黑色的菌絲體。|霉味。東西有發霉的味道。,動|形
臭汗酸,臭汗酸,tshàu-kuānn-sng,6581,,汗臭。因為流汗而產生的汗酸味。,形
臭油,臭油,tshàu-iû,6590,,煤油、燈油。從石油提煉出來，可以用來照明的油。,名
臭油垢,臭油垢,tshàu-iû-káu,6592,,積久發臭難以清潔的油汙。,名
臭油餲,臭油餲,tshàu-iû-ai,14276,,形容不新鮮的油所發出的異味。,形
臭溝仔,臭沟仔,tshàu-kau-á,6616,,稱疏通流水、排洩汙水的溝道。,名
臭火焦,臭火焦,tshàu-hué-ta/tshàu-hé-ta,6570,,燒焦。,動
臭火燒,臭火烧,tshàu-hué-sio/tshàu-hé-sio,6571,,燒焦。,形
臭火薰,臭火薰,tshàu-hué-hun/tshàu-hé-hun,6572,,燒焦。,名
臭焦,臭焦,tshàu-ta,6610,,燒焦。|破產。,形|形
臭煬,臭炀,tshàu-iāng,6618,,神氣、臭屁。常用於對他人的貶詞。,形
臭羶,臭膻,tshàu-hiàn,6645,,腥味。,名
臭老,臭老,tshàu-lāu,6579,,老相、老態。形容一個人的外表看起來比實際年齡老。,形
臭耳甕仔,臭耳瓮仔,tshàu-hīnn-àng-á/tshàu-hī-àng-á,6582,,耳漏、耳膿。病名。慢性中耳炎，耳朵會流出有臭味的膿液，嚴重時會造成重聽。,名
臭耳聾,臭耳聋,tshàu-hīnn-lâng/tshàu-hī-lâng,6583,,耳聾。指人因聽覺障礙而失去聽力。,形
臭腥,臭腥,tshàu-tshènn/tshàu-tshìnn,6619,,植物特有的生腥味。,形
臭腥公,臭腥公,tshàu-tshenn-kong/tshàu-tshinn-kong,6620,,臭青公、隆脊蛇。爬蟲類動物。體型粗大，為棕色或褐色，無毒。幼蛇呈淺棕色，有黑色或深棕色的小斑點散雜其間，和成蛇體色差異大。棲息於雜木林或農墾地，性情活潑，好攻擊。在遇危急或被捕捉時，會於肛門處發出惡臭，所以稱為「臭腥公」。,名
臭臊,臭臊,tshàu-tsho,6641,,腥臭。形容魚或肉類有葷腥的氣味。,形
臭薟薟,臭莶莶,tshàu-hiam-hiam,6643,,形容刺鼻的尿臭味。,形
臭藥丸仔,臭药丸仔,tshàu-io̍h-uân-á,6647,,正露丸。原名征露丸，是日本征伐露西亞(俄羅斯)時，發給士兵食用，來治療水土不服、肚子痛的強效藥丸，副作用很大。因為味道又怪又臭，因此得名。,名
臭豆腐,臭豆腐,tshàu-tāu-hū,6587,,一種食品。用豆腐醃製，再以石灰封藏於缸內。因發酵後會有臭味，所以稱為「臭豆腐」。其獨特的風味，加上油炸或蒸滷，而成為很受喜愛的小吃。,名
臭賤,臭贱,tshàu-tsiān,6634,,下賤。因為粗俗而卑賤不堪。|形容花草植物因滋衍繁多而失去其珍貴的價值。,形|形
臭跤液,臭跤液,tshàu-kha-sio̍h,6622,,腳流汗又悶著所發出的臭味。,名
臭酸,臭酸,tshàu-sng,6628,,餿臭。食物因為變質、腐敗而發出酸臭味。,形
臭面,臭面,tshàu-bīn,6599,,臭臉。難看、不悅的臉色。,名
臭頭,臭头,tshàu-thâu,6638,,癩痢頭。也就是頭上生癬或疥瘡而導致部分毛髮脫落。|狗血淋頭。形容被責備得很不堪。,名|形
臭頭仔嘛會做皇帝，做總統你嘛有機會。,臭头仔嘛会做皇帝，做总统你嘛有机会。,"Tshàu-thâu-á mā ē tsò hông-tè, tsò tsóng-thóng lí mā ū ki-huē. ",60251,,英雄不怕出身低，只要肯奮鬥，都可能有出頭天的機會。,
臭頭雞仔,臭头鸡仔,tshàu-thâu-ke-á/tshàu-thâu-kue-á,6640,,指長癩痢頭無毛的禿雞。也比喻為被人批評、斥責而頹喪的人。,名
臭風,臭风,tshàu-hong,6600,,腐臭。,動
臭香,臭香,tshàu-hiunn,13746,,黑斑病。地瓜被蟻象蟲啃食過，變黑又發臭。,形
至少,至少,tsì-tsió,2636,,最少、最低限度。,副
至親,至亲,tsì-tshin,2813,,血緣關係最近的人。,名
致,致,tì,5395,至,罹患疾病。|以致於、導致。|獲得、達到。|盡心、專心。,動|動|動|動
致使,致使,tì-sú,5416,,導致，以致於。,動
致意,致意,tì-ì,5439,,注意、用心、全心全意。|表示問候的意思。,動|動
致病,致病,tì-pēnn/tì-pīnn,5425,,生病、染病。,動
致蔭,致荫,tì-ìm,5445,,庇蔭、庇護。指憑藉自己的名聲和權勢使得別人得到好處，也指子孫後代因為祖先、父母的努力或積陰德而得到好處。,動
致身命,致身命,tì-sin-miā,5415,,得到難治的慢性病。,動
臺灣錢，淹跤目。,台湾钱，淹跤目。,"Tâi-uân tsînn, im kha-ba̍k. ",60120,,比喻臺灣遍地錢財、容易謀生。,
舀,舀,iúnn,6554,臼,用杓子撈取液體。,動
舀水,舀水,iúnn-tsuí,6566,,用瓢子或杓子汲取液體。,動
舀肥,舀肥,iúnn-puî,6594,,指舊式的農業社會中，舀取排泄物做為肥料的行為。,動
舂,舂,tsing,7808,臼,搗。把穀物用杵臼搗去皮殼。|擊打、撞、揍。,動|動
舂米,舂米,tsing-bí,7817,,把稻穀放在臼中，擣去皮殼，成為潔淨的白米。,動
舂臼,舂臼,tsing-khū,7818,,臼。中間下凹的舂米器具。,名
舅,舅,kū,9890,臼,稱謂。用來稱呼母親的兄弟。|稱謂。用來稱呼妻子的兄弟。,名|名
舅仔,舅仔,kū-á,9915,,舅子。稱謂。丈夫對他人稱妻子的兄弟。,名
舅仔探房,舅仔探房,kū-á-thàm-pâng,9920,,結婚後的第三天，新娘的兄弟前來男方家，探望新婦嫁後的起居情況，而男方家須以禮款待。,熟
舅公,舅公,kū-kong,9907,,稱謂。稱祖母或外祖母的兄弟。,名
興,兴,hing,11893,臼,發展、興盛。,動
興,兴,hìng,11894,臼,愛好、嗜好。,動
興旺,兴旺,hing-ōng,11900,,興隆旺盛的樣子。,形
興衰,兴衰,hing-sue,11907,,興盛與衰微。,名
興趣,兴趣,hìng-tshù,11913,,樂於學習、注意的事。|對事情感到有興致，願意投入參與。,名|名
興酒,兴酒,hìng tsiú,11908,,好酒。喜歡喝酒。,動
興頭,兴头,hìng-thâu,11915,,興趣、帶勁兒。指對事物興趣濃、情緒高及態度積極。,名
舉動,举动,kí-tōng/kú-tōng,12354,,行為、動作或姿態。,名
舉荐,举荐,kí-tsiàn/kú-tsiàn,12353,,推舉、推薦。,動
舉行,举行,kí-hîng/kú-hîng,12340,,舉辦某種活動。,動
舊,旧,kū,12587,臼,用很久的、老的、以前的。與「新」(sin)相對。,形
舊囚食新囚。,旧囚食新囚。,Kū siû tsia̍h sin siû. ,60374,,老犯人欺負新犯人。比喻老手欺生手。,
舊年,旧年,kū-nî,12591,,去年。,時
舊底,旧底,kū-té/kū-tué,14569,,原來、原本。|以前。,副|副
舊式,旧式,kū-sik,12592,,舊有的形式或樣式。,形
舊數,旧数,kū-siàu,12614,,舊賬。,名
舊曆,旧历,kū-li̍k,12615,,農曆。漢族傳統通行的曆法，屬「陰陽合曆」的一種。大月三十天，小月二十九天；平年一年十二個月，閏年十三個月。,名
舊漚舊臭,旧沤旧臭,kū-àu-kū-tshàu,13880,,老舊破爛。,形
舊症頭,旧症头,kū-tsìng-thâu,14570,,老毛病、宿疾。有時也指過去的壞習癖。,名
舌,舌,tsi̍h,2611,舌,口腔內識別味道及發音的器官。|像舌頭般的部分。,名|名
舐,舐,tsīnn,6555,舌,舔。用舌頭表面舔取東西。|以舌尖小面積沾食，此義多唸作tsn̄g。,動|動
舒,舒,tshu,8929,舌,鋪上墊底物。,動
舒被,舒被,tshu-phuē/tshu-phē,8948,,把棉被鋪在床上。,動
舖,铺,phòo,11342,舌,商店。|計算路程的單位；十華里為一舖，一華里約等於零點五公里。,名|量
舞,舞,bú,10815,舛,配合音樂或節奏來活動身體的一種藝術。|引申為忙著做某件事。,名|動
舞台,舞台,bú-tâi,10825,,劇場內供演員表演的地方。,名
舞女,舞女,bú-lí/bú-lú,10822,,在舞廳中以伴舞為業的女子。,名
舞廳,舞厅,bú-thiann,10834,,供人跳舞的娛樂場所，大多具有營業性質。,名
舢舨仔,舢舨仔,sam-pán-á,5493,,一種堅固的平底小船。利用拖船拖拉或裝置發動機航行。用來載貨、捕魚。為世界各地普遍使用的簡便水上交通工具。,名
航空,航空,hâng-khong,6593,,駕駛飛機、飛船等飛行器在空中飛行。|郵寄信件、物品的一種方式。,動|名
舵公,舵公,tāi-kong,7811,,船長、舵手。即擺渡者。,名
船,船,tsûn,7809,舟,泛指在水上航行的交通工具。,名
船主,船主,tsûn-tsú,7814,,船隻的所有人。,名
船仔,船仔,tsûn-á,7815,,船。航行水上的主要交通工具。,名
船員,船员,tsûn-uân,7822,,船上除船長以外的所有工作人員。,名
船尾,船尾,tsûn-bué/tsûn-bé,7819,,船的後部。,名
船廠,船厂,tsûn-tshiúnn,7827,,造船、修船的工廠。,名
船期,船期,tsûn-kî,7825,,開船的日期、時間。,名
船艙,船舱,tsûn-tshng,7831,,船內部可容納人員或貨物的地方。,名
船過水無痕。,船过水无痕。,Tsûn kuè tsuí bô hûn. ,60277,,用來指一個人的忘恩負義。,
船頭,船头,tsûn-thâu,7832,,船隻的前端部位。,名
良心,良心,liông-sim,3418,,天生自然的善心。,名
艱苦,艰苦,kan-khóo,12347,,艱難、痛苦。|難過、生病不舒服。,名|形
艱苦人,艰苦人,kan-khóo-lâng,12348,,窮人。|苦命的人。,名|名
艱苦罪過,艰苦罪过,kan-khóo-tsē-kuà,12349,,非常痛苦難過。,形
艱苦頭，快活尾。,艰苦头，快活尾。,"Kan-khóo thâu, khuìnn-ua̍h bué. ",60368,,先苦後甘，苦盡才有甘來。,
艱難,艰难,kan-lân,12379,,艱辛困難。,副
色,色,sik,2612,色,顏色。|顯現於臉上的神情。|景象。|指美麗的容貌。,名|名|名|名
色彩,色彩,sik-tshái,2735,,物體表面所呈現出來的顏色。|思想、行動的傾向或事物的格調。,名|名
色水,色水,sik-tsuí,2637,,顏色。,名
色盲,色盲,sik-bông,2694,,病名。一種眼睛不能辨別顏色的疾病。常見的色盲是紅綠色盲，患者無法區別紅綠兩種顏色。另一種為全色盲，只能區別明暗，不能區別色彩。色盲多為先天性遺傳，患者常為男性。,名
色素,色素,sik-sòo,2723,,使物體可以顯示出各種不同顏色的物質。有天然合成的，如葉子中的葉綠素，也有人工製造的，如食物添加色素黃色四號、五號等。,名
色緻,色致,sik-tī,2803,,色彩、色澤。,名
艷色,艳色,iām-sik,14612,,顏色艷麗。,形
艾,艾,hiānn,2613,艸,草本植物。莖質硬，葉子有香氣、互生，呈長卵形，葉背密生白毛。秋天開淡黃或淡褐色花。葉揉成艾絨，可作印泥，也可以針灸治病。,名
艾,艾,ngāi,2614,艸,草本植物。莖質硬，葉子有香氣、互生，呈長卵形，葉背密生白毛。秋天開淡黃或淡褐色花。葉揉成艾絨，可作印泥，也可以針灸治病。|姓氏。,名|名
芋,芋,ōo,3397,艸,芋頭。根莖類。多肉，含豐富澱粉質，可供食用。葉大如短箭狀，有長柄，綠色。夏日開黃白色花，花單性，呈穗狀花序。根作鬚狀生於球莖下端。,名
芋仔,芋仔,ōo-á,3422,,植物名。多年生草本。地下莖呈圓形或橢圓形，俗稱「芋頭」，含有豐富的澱粉質，為一般我們食用的部分。其地上莖稱芋稈(ōo-kuáinn)，可做蔬菜。,名
芋冰,芋冰,ōo-ping,3433,,指用芋頭製成的冰棒或冰品，或者特指芋頭口味的冰淇淋。,名
芋圓,芋圆,ōo-înn,3492,,臺灣著名的小吃。將地瓜粉加入芋泥中製成。芋圓以滾水煮熟後，通常加入糖水之中食用。,名
芋泥,芋泥,ōo-nî,3448,,把芋頭去皮蒸熟後，加入糖、油等調味料搗成泥狀而成的一種食品。,名
芋稈,芋秆,ōo-kuáinn,3485,,芋的莖，可食用。,名
芋粿,芋粿,ōo-kué/ōo-ké,3500,,臺灣小吃的一種。以米漿和芋頭為主要材料，蒸熟後食用。,名
芋粿曲,芋粿曲,ōo-kué-khiau/ōo-ké-khiau,3503,,用芋頭、在來米、紅蔥頭、蝦米等，蒸製而成的一種食品。形狀如弧形而得名。,名
芋莖,芋茎,ōo-huâinn,3476,,見【芋稈】ōo-kuáinn 條。,
芒種雨,芒种雨,bông-tsíng hōo,13702,,芒種當天下雨。,名
芟,芟,sing,4439,艸,除草。,動
芡,芡,khiàn,4440,艸,爆香。,動
芡滷,芡卤,khiàn-lóo,4483,,一種烹調方法。把肉下鍋，放進佐料爆香，再加入醬油、香料等調味，然後勾芡成濃汁，可以淋在麵等食物上，增添口感和風味。,名
芡芳,芡芳,khiàn-phang,4462,,烹飪時把蔥蒜等香料爆香以引出香味。,動
芥末,芥末,kài-bua̍h,4467,,芥末。用芥菜子研磨成黃色細末，味道辛辣，也會有嗆鼻的情況，常作為調味料。這和用山葵磨成的ua-sá-bih不同，ua-sá-bih是綠色的，但是華語都叫芥末。,名
芥菜,芥菜,kuà-tshài,4480,,葉菜類。葉柄肥厚，葉片皺摺，葉緣有齒狀的凹陷。莖、葉、種子都可以食用。,名
芥藍仔,芥蓝仔,kè-nâ-á,4493,,芥藍菜。葉菜類。高二十至六十公分，葉叢生於莖頂，葉柄長，葉形上尖下圓，花為白色或黃色，嫩葉可供食用，富含鈣、磷及鐵質。,名
芥辣,芥辣,kài-lua̍h,13713,,芥末。見【芥末】kài-bua̍h 條。,
芫荽,芫荽,iân-sui,4477,,香菜、胡荽。草本植物。莖直立，中空有條紋，葉為羽狀複葉，細裂有鋸齒，氣味強烈。除食用外，也可做為調味或入藥。,名
花,花,hua,4441,艸,觀賞植物的通稱，或指其鮮豔的部分。|像花一樣美麗、精美。|虛華不實。,名|形|形
花,花,hue,4442,艸,顯花植物的生殖器官，多具有鮮艷的顏色和芳香的氣味。|紛亂、錯亂。|耍賴、胡鬧。|色彩繁複的樣子。|風流。|模糊不清。|繁複的動作、行為。|顆粒或質地。,名|動|動|形|形|形|名|名
花仔布,花仔布,hue-á-pòo,4446,,花布。印有各種圖案花樣的布料。,名
花坩,花坩,hue-khann,4455,,花盆。,名
花巴哩貓,花巴哩猫,hue-pa-li-niau,4488,,形容圖案樣式或顏色雜亂無章的樣子。|形容人吃東西的時候，臉上沾滿食物殘渣。,形|形
花旦,花旦,hue-tuànn,4449,,傳統戲曲腳色行當之一。大多飾演活潑或輕浮的女子，扮相豔麗，表情生動，偏重身段動作與唱工口白的表現。,名
花枝,花枝,hue-ki,4459,,花的梗柄。|墨魚、烏賊。軟體動物，十隻腳，具有墨囊，在遇到敵人時，會噴出墨汁而逃跑。以貝類、甲殼類為食，是重要的經濟海產物。,名|名
花栽,花栽,hue-tsai,4470,,花苗、花栽子。,名
花條馬,花条马,hue-tiâu-bé,14151,,斑馬。,名
花欉,花欉,hue-tsâng,4496,,花株。,名
花無百日紅，人無千日好。,花无百日红，人无千日好。,"Hue bô pah ji̍t âng, lâng bô tshian ji̍t hó. ",60193,,比喻人生本來就無法永遠順利。,
花環,花环,hue-khuân,4491,,用鮮花或人工花編成的圓環狀飾物，通常用在迎送親朋好友時，把花環套在被迎送者的身上，表示心中的敬意。,名
花瓶,花瓶,hue-pân,4475,,供插花的瓶子。|用來指稱裝扮漂亮，卻不具實際工作能力的女人。,名|名
花眉,花眉,hue-bî,14149,,畫眉鳥。|小白臉。,名|名
花矸,花矸,hue-kan,4461,,花瓶。,名
花磚,花砖,hue-tsng,4486,,瓷磚。一種質地細緻的磚。表面經塗釉處理，具有瓷器般的光澤。,名
花箍,花箍,hue-khoo,4485,,花圈。以鮮花或紙花紮成圓圈，用於誌慶或喪禮的弔唁。,名
花籃,花篮,hue-nâ,4495,,用花作裝飾的籃子。一般用來裝飾儀式場地。,名
花花仔,花花仔,hue-hue--á,4463,,還可以，還過得去。,形
花草,花草,hue-tsháu,4472,,花樣、花紋圖案。|花與草的合稱。,名|名
花莓,花莓,hue-m̂,4468,,蓓蕾。含苞未開的花朵。,名
花菜,花菜,hue-tshài,4481,,花椰菜。葉菜類。莖硬而肥大，葉寬大，基部鈍形，邊緣呈波狀。花部成肉質塊狀，可供食用。,名
花蕊,花蕊,hue-luí,4487,,為植物的生殖器官，花朵中心細鬚的部分。有雄蕊、雌蕊的分別。|花朵。,名|名
花蛤仔,花蛤仔,hue-kap-á,14152,,花蛤。一種在海邊沙灘生長的食用蛤蜊。,名
花袂牢枝,花袂牢枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki,4473,,習慣性流產。因為先天性的染色體異常或產婦本身子宮異常等不明原因，造成多次自然流產即稱為習慣性流產，這種情形，俗稱「花袂牢枝」。,熟
花身仔,花身仔,hue-sin-á,4454,,花身雞魚、斑午魚。魚類。外型特徵為背鰭硬棘及軟條間有深刻，背鰭棘部有一大型黑斑，尾鰭上下有斜走之黑色條紋，體側有三條成弓狀之黑色縱帶，為本省沿岸漁業中重要經濟魚種之一。,名
花轎,花轿,hue-kiō,4494,,舊時結婚時新娘子所乘坐的大紅轎子。,名
花飛,花飞,hue-hui,14150,,鯖魚。魚類。,名
花鮡,花鮡,hue-thiâu,4492,,魚名。彈塗魚的一種，身體長而且側扁，全身暗褐色，有黑色小點。生活在淺海和河口附近，常藉著胸鰭和身體的彈力跳躍和爬行。,名
芳,芳,phang,4443,艸,香氣令人愉悅的。|有香味的東西、食物。,形|名
