eng,iso639-3,iso639-1,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie
Swahili,swa,sw,斯瓦希里语,Swahili,السواحلية,Suahili,Swahili,Σουαχίλι,Suahili,Swahili,Svahaílis,स्वाहिली,Svahili,Szuahéli,Swahili,Swahili,スワヒリ語,스와힐리어,Swahili,Swahili,Suahili,Suaíle,Swahili,Суахили,Swahili,Svahili,Kiswahili,Swahili,สะวาฮิลี่,Svahili dili,Tiếng Swahili
Swazi,ssw,ss,斯威士语,Swazi,سوازيلند,Swazi,Swasiländisch,Σουάζι,Swazi,Swazi,An tSuasalainn,स्वाज़ी,Svazi,Szvázi,Swazi,Swazi,スワジ,스와지어,Swazi-taal,Swazi,Suazi,Swazi,Swazi,Свазиленд,Suazi,Svazi,Swazi,Swazi (swazi),ภาษาสวาซิ,Svazi dili,Tiếng Swazi
Swedish,swe,sv,瑞典语,Sweeds,السويدية,Suec,Schwedisch,Σουηδικά,Ruotsi,Suédois,Sualainnis,स्वीडिश,Švedski,Svéd,Swedia,Svedese,スウェーデン語,스웨덴어,Zweeds,Svensk,Szwedzki,Sueco,Suedeză,Шведский,Sueco,Švedski,Kiswidi,Svenska,สวีเดน,İsveç dili,Thuỵ Điển
Tagalog,tgl,tl,他加禄语,Tagalog,التغالوغيه,Tagàlog,Tagalog,Ταγκαλόγκ,Tagalog,Tagalog,Tagálaigis,तागालोग,Tagalog,Tagalog,Bahasa tagalog,Tagalog,タガログ語,타갈로그어,Tagalog,Tagalog,Tagalog,Tagalo,Tagalogă,Тагальский,Tagalo,Tagalog,Tagalog,Tagalog,ภาษาตากาล็อก,Tagalog,Tagalog
Tajik,tgk,tg,塔吉克语,Tadjik,الطاجيكي,Tadjik,Tadschikisch,Τατζικιστάν,Tadžikki,Tadjik,Táidsíceastáin,ताजिक,Tadžički,Tádzsik,Bahasa Tajik,Tagico,タジク,타지크어,Tadzjieks,Tadsjikisk,Tadżycki,Tadjique,Tadjică,Таджикский,Tayiko,Tadžikistanski,Tajik,Tadzjikiska,ภาษาทาจิก,Tacik,Tiếng Tajik
Tamil,tam,ta,泰米尔语,Tamil,التاميلية,Tàmil,Tamil,Ταμιλικά,Tamili,Tamil,Tamailis,तमिल,Tamilski,Tamil,Tamil,Tamil,タミール語,타밀어,Tamil,Tamilsk,Tamilski,Tâmil,Tamil,Тамильский,Tamil,Tamilski,Kitamili,Tamilska,ทมิฬ,Tamil dili,Tiếng Tamil
Tatar,tat,tt,塔塔尔语,Tataar,التتارية,Tàtar,Tatarisch,Ταταρικά,Tataari,Tatar,Tatairis,तातार,Tatarski,Tatár,Tatar,Tataro,タタール語,타타르어,Tataars,Tatarisk,Tatarski,Tártaro,Tătară,Татарский,Tártaro,Tatarski,Kitatari,Tatariska,ทาทาร์,Tatarca,Tatar
Telugu,tel,te,泰卢固语,Teloegoe,التيلوغية,Telugu,Telugu,Τελουγκουικά,Telugu,Telugu,Teileagúis,तेलूगू,Telugu,Telugu,Telugu,Telugu,テルグ語,텔루구어,Telugu,Telugu,Telugu,Telugu,Telugu,Телугу,Telugu,Telugu,Kitelugu,Telugu,เทลูกู,Telugu dili,Telugu
Thai,tha,th,泰语,Thai,التايلندية,Tailandès,Thailändisch,Ταϊλανδικά,Thai,Thaï,Téalainnis,थाई,Tajlandski,Thai,Thai,Tailandese,タイ語,태국어,Thais,Thai,Tajski,Tailandês,Thai,Тайский,Tailandés,Tajlandski,Kithai,Thai,ไทย,Tay dili,Thái
Tibetan,bod,bo,藏语,Tibetaanse,تبتي,Tibetà,Tibetisch,Θιβετιανός,Tiibetiläinen,Tibétain,Tibéidis,तिब्बती,Tibetski,Tibeti,Tibet,Tibetano,チベット語,티베트어,Tibetaans,Tibetansk,Tybetański,Tibetano,Tibetană,Тибетский,Tibetano,Tibetanski,Kitibeti,Tibetanska,ทิเบต,Tibetli,Tây tạng
Tigrinya,tir,ti,提格利尼亚语,Tigrinya,التغرينية,Tigrinya,Tigrinya,Τιγκρίνια,Tigrinja,Tigrigna,Tigrinya,तिग्रीन्या,Tigrinija,Tigrinya,Tigrinya,Tigrigna,ティグリニャ語,티그리냐어,Tigrinya,Tigrinja,Tigrinia,Tigrinya,Tigrinya,Тигринья,Tigriña,Tigrinya,Tigrinya,Tigrinja,ติกรินยา,Tigrinya Belediyesi,Tiếng Tigrinya
Tok Pisin,tpi,,托克皮辛语,Tokpissing,توكبيسينغ,Tokpissing,Tokppissen,Tokpissing,Tokpissing,Tokpissing,Tokpissing,टोकपिसिंग,Tokpissing,Tokpissing,Tokpissing,Tokpissing,トクピッシング,톡피싱,Tokpissing,Tokpissing,Tokpissing powiedział:,Tokpissing,Tokpissing,Токписсинг,Tokpissing,Tokpissing,Tokpissing,Tokpissing,ต๊อกพิสซิง,Tokpişe,Tokpissing
Tsakonian,tsd,,托萨科尼亚语,Tossakanian,توساكانيان,Tossakanià,Tossakanian,Τοσακανιάν,Tossakanian,Tossakanien,Tossakanian,तोसाकानियन,Tossakanian,Tossakanian,Bahasa Tossakania,Tossakaniano,トサカニアン,토사카니아어,Tossakanian,Tossakanisk,Tossakanian,Tossakaniano,Tossakanian,Тоссаканян,Tossakanian,Tossakanian,Tossakanian,Tossakanian,โทสซาคาเนียน,Tossakanyan,Tiếng Tossakanian
Turkish,tur,tr,土耳其语,Turkse,التركية,Turc,Türkisch,Τουρκικά,Turkki,Turc,Tuircis,तुर्की,Turski,Török,Turki,Turco,トルコ語,터키어,Turks,Tyrkisk,Turecki,Turco,Turcă,Турецкий,Turco,Turski,Kituruki,Turkiska,ตุรกี,Türkçe,Tiếng Thổ Nhĩ Kỳ
Ukrainian,ukr,uk,乌克兰语,Oekraïense,الأوكرانية,Ucraïnès,Ukrainisch,Ουκρανικά,Ukraina,Ukrainien,Úcráinis,यूक्रेनियाई,Ukrajinski,Ukrán,Ukraina,Ucraino,ウクライナ語,우크라이나어,Oekraïens,Ukrainsk,Ukraiński,Ucraniano,Ucraineană,Украинский,Ucraniano,Ukrajinski,Kiukreini,Ukrainska,ยูเครน,Ukrayna dili,Tiếng U-kren
Urdu,urd,ur,乌尔都语,Oerdoe,الأوردية,Urdú,Urdu,Ουρντού,Urdu,Urdu,Urdúis,उर्दू,Urdu,Urdu,Urdu,Urdu,ウルドゥ語,우르두어,Urdu,Urdu,Urdu,Urdu,Urdu,Урду,Urdu,Urdu,Kiurdu,Urdu,เออร์ดู,Urduca,Tiếng Urdu
Uyghur,uig,ug,维吾尔语,Uighur,اليوغور,Uigur,Uigurisch,Ουιγούροι,Uiguuri,Ouïgour,Uighur,उइघुर,Ujguri,Ujgur,Uighur,Uighur,ウイグル語,위구르어,Uighur,Uigurisk,Ujgurski,Uighur,Uighur,Уйгурский,Uigur,Uighur,Uighur,Uiguriska,อุยกูร์,Uygurca,Người Duy Ngô Nhĩ
Uzbek,uzb,uz,乌兹别克语,Oesbeekse,الأوزبكية,Uzbek,Usbekisch,Ουζμπεκικά,Uzbekki,Ouzbek,Úisbéiceastáinis,उज़बेक,Uzbečki,Üzbég,Uzbek,Uzbeco,ウズベク語,우즈베크어,Oezbeeks,Usbekisk,Uzbecki,Uzbeque,Uzbekă,Узбекский,Uzbek,Uzbekistanski,Kiuzbeki,Uzbekiska,อุซเบค,Özbekçe,Tiếng Uzbekistan
Venetian,vec,,威尼斯语,Venesies,بندقاني,Venecià,Venezianisch,Ενετικός,Venetsialainen,Vénitien,Veinéiseach,वेनिस,Venecijanski,Velencei,Venesia,Veneziano,ベネチア,베네치아,Venetiaans,Venetiansk,Wenecki,Vêneto,Venețian,Венецианский,Veneciano,venecijanski,Venetian,Venetianska,เว นิ ส,Venedikli,Venetian
Vietnamese,vie,vi,越南语,Viëtnamese,الفيتنامية,Vietnamita,Vietnamesisch,Βιετναμικά,Vietnam,Vietnamien,Vítneaimis,वियतनामी,Vijetnamski,Vietnami,Vietnam,Vietnamita,ベトナム語,베트남어,Vietnamees,Vietnamesisk,Wietnamski,Vietnamita,Vietnameză,Вьетнамский,Vietnamita,Vijetnamski,Kivietinamu,Vietnamesiska,เวียดนาม,Vietnam dili,Tiếng Việt
Volapük,vol,vo,沃拉普克语,Wolapuk,وولابوك,Wolapuk,Wolapuk,Βολαπούκ,Wolapuk,Wolapuk,WolapukName,वोलापुक,Wolapuk,Wolapuk,Wolapuk,Wolapuk,ウォラプク,월라푹,Wolapuk,Wolapuk,Wolapuk,Wolapuk,Wolapuk,Волапук,Wolapuk,Wolapuk,Wolapuk,Wolapuk Wolapuk,โวลาปุก,Wolapuk Belediyesi,Wolapuk
Welsh,cym,cy,威尔士语,Walliese,الويلزية,Gal·lès,Walisisch,Ουαλλικά,Kymri (Wales),Gallois,Breatnais,वेल्श,Velški,Walesi,Welsh,Gallese,ウェールズ語,웨일스어,Welsh,Walisisk,Walijski,Galês,Velşă,Валлийский,Galés,Velšanski,Kiwelshi,Walesiska,เวลช์,Galce,Welsh
West Frisian,fry,fy,弗里西语,Fries,الفريزية,Frisó,Friesisch,Φριζιακά,Friisi,Frison,Freaslainnis,फ़्रिसियन,Frizijski,Fríz,Frisian flag,Frisone,フリジア,프리슬란트어,Fries,Frisisk,Fryzyjski,Frísio,Friziană,Фризский,Frisio,Frizijski,Frisian,Frisiska,ฟรีเซียน,Frizce,Frisian
Western Farsi,pes,,西部波斯语,Wes-Persies,الفارسية الغربية,Persa occidental,Westpersisch,Δυτική περσική,Länsi-persialainen,Perse occidental,An Pheirsis Thiar,पश्चिमी फारसी,Zapadni Perzijski,Nyugat-perzsa,Persia Barat,Persiano occidentale,西ペルシア語,서부 페르시아어,West-Perzisch,Vestlig persisk,Zachodni perski,Persa ocidental,Persană occidentală,Западный персидский,Persa occidental,Zapadni Persijski,Kiajemi ya Magharibi,Västpersiska,เปอร์เซียตะวันตก,Batı Farsça,Tây Ba Tư
Western Yugur,ybe,,西域裕固语,Westerse Yugur-taal,لغة يوغور الغربية,Llengua iugur occidental,Westliche Yugur-Sprache,Δυτική γλώσσα Yugur,Länsi-Yugurin kieli,Langue occidentale Yugur,Teanga Yugur an Iarthair,पश्चिमी युगुर भाषा,Zapadni Yugur jezik,Nyugati yugur nyelv,Bahasa Yugur Barat,Lingua Yugur occidentale,西ユグル語,Western Yugur 언어,Westelijke Yugur-taal,Vestlig Yugur språk,Zachodni język Yugur,Língua Yugur ocidental,Limba Yugur de Vest,Западно-юйгурский язык,Idioma yugur occidental,Zapadni Jugour jezik,Lugha ya Yugur ya Magharibi,Västerländskt yugurspråk,ภาษา Western Yugur,Batı Uygur dili,Ngôn ngữ Tây Yugur
Wolof,wol,wo,沃洛夫语,Wolof-taal,لغة الولوف,Llengua wòlof,Wolof-Sprache,Γλώσσα Wolof,Wolofin kieli,Langue wolof,Teanga Wolof,वोलोफ़ भाषा,Wolof jezik,Wolof nyelv,Bahasa Wolof,Lingua wolof,ウォロフ語,Wolof 언어,De taal van Wolof,Wolof språk,Język wolof,Língua Wolof,Limba Wolof,Язык волоф,Idioma wolof,Wolof jezik,Lugha ya Wolof,Wolof språk,ภาษา Wolof,Wolof dili,Ngôn ngữ Wolof
Wu,wuu,,吴语,Wu,وو,Wu,Wu,Γου,Wu-kiina,Wu,WuName,वू,Wu,Wu,Wu,Wu,呉方言,우어,Wu,Wu,Wu,Wu,Wu,Ву,Wu,Wu,Wu,Wu,วู,Wu,Wu
Xhosa,xho,xh,科萨语,Xhosa,زوسا,Xosa,Xhosa,Ξόσα,Xhosa,Xhosa,Cóisis,ज़ोसा,Xhosa,Xhosza,Xhosa,Xhosa,コサ語,코사어,Xhosa,Xhosa,Xhosa,Xhosa,Xhosa,Коса,Xosa,Kosa,Kikosa,Xhosa,โซซ่า,Zosa dili,Xhosa
Xiang,hsn,,湘语,Hunan-taal,لغة هونان,Llengua hunan,Hunan-Sprache,Γλώσσα Χουνάν,Hunanin kieli,Langue du Hunan,Teanga Hunan,हुनान भाषा,Hunan jezik,Hunan nyelv,Bahasa Hunan,Lingua Hunan,湖南省の言語,Hunan 언어,De taal van Hunan,Hunan språk,Język Hunan,Língua hunan,Limba hunan,Хунаньский язык,Idioma Hunan,Hunan jezik,Lugha ya Kihunan,Hunan-språket,ภาษาหูหนาน,Hunan dili,Tiếng Hồ Nam
Yakut,sah,,萨哈语,Sakha-taal,لغة ساخا,Llengua sakhà,Sakha-Sprache,Γλώσσα Sakha,Sahan kieli,Langue Sakha,Teanga Sakha,सखा भाषा,Sakha jezik,Szaha nyelv,Bahasa Sakha,Lingua Sakha,サハ語,Sakha 언어,De taal van Sakha,Sakha språk,Język sacha,Língua sakha,Limba Sakha,Язык саха (Якутия),Idioma sajá,Sakha jezik,Lugha ya Sakha,Sakha-språket,ภาษา Sakha,Saha dili,Ngôn ngữ Sakha
Yiddish,yid,yi,依地语,Jiddisj,الييديه,Jiddisch,Jiddisch,Γίντις,Jiddiš,Yiddish,Giúdais,यिडिश,Jidiš,Jiddis,Bahasa Yiddish,Yiddish,イディッシュ語,이디시어,Jiddisch,Jiddisch,Jidysz,Iídiche,Idiș,Идиш,Yiddish,Jevrejski,Yiddish,Jiddisch,ภาษายิดดิช,Yidiş,Yiddish
Yoruba,yor,yo,约鲁巴语,Yoruba,اليوروبا,Ioruba,Yoruba,Γιορούμπα,Joruba,Yoruba,YorubaName,योरूबा,Joruba,Joruba,Yoruba,Yoruba,ヨルバ語,요루바어,Yoruba,Joruba,Joruba,Ioruba,Yoruba,Йоруба,Yoruba,Joruba,Yoruba,Yoruba,โยรูบา,Yoruba dili,Tiếng Yoruba
Zhuang,zha,za,壮语,Zhuang,تشوانغ,Zhuang,Zhuang,Ζουάνγκ,Zhuang,Zhuang,ZhuangName,झुआंग,Zhuang,Csuang,Zhuang,Zhuang,チワン,좡어,Zhuang,Zhuang,Zhuang powiedział:,Zhuang,Zhuang,Чжуан,Zhuang,Zuang,Zhuang,Zhuang Zhuang,ภาษาจ้วง,Zhuang Belediyesi,Trang
Zulu,zul,zu,祖鲁语,Zoeloe,الزولوية,Zulú,Zulu,Ζουλού,Zulu,Zoulou,Súlúis,ज़ुलु,Zulu,Zulu,Zulu,Zulù,ズールー語,줄루어,Zulu,Zulu,Zulu,Zulu,Zulu,Зулусский,Zulú,Zulu,Kizulu,Zulu,ซูลู,Zulu dili,Zulu
Hungarian Sign Language,hsh,,匈牙利手语,Hongaarse Gebaretaal,لغة الإشارة الهنغارية,Llengua de signes hongaresa,Ungarische Gebärdensprache,Ουγγρική Νοηματική Γλώσσα,Unkarilainen viittomakieli,Langue des signes hongroise,Teanga Chomharthaíochta na hUngáire,हंगेरियन सांकेतिक भाषा,Mađarski znakovni jezik,Magyar jelnyelv,Bahasa Isyarat Hongaria,Lingua dei segni ungherese,ハンガリー手話,헝가리 수화,Hongaarse gebarentaal,Ungarsk tegnspråk,Węgierski Język Migowy,Língua gestual húngara,Limbajul semnelor maghiar,Венгерский язык жестов,Lengua de señas húngara,Mađarski znakovni jezik,Lugha ya Ishara ya Hungaria,Ungerskt teckenspråk,ภาษามือฮังการี,Macar İşaret Dili,Ngôn ngữ ký hiệu Hungary
Slovakian Sign Language,svk,,斯洛伐克手语,Slowaakse Gebaretaal,لغة الإشارة السلوفاكية,Llengua de signes eslovaca,Slowakische Gebärdensprache,Σλοβακική Νοηματική Γλώσσα,Slovakialainen viittomakieli,Langue des signes slovaque,Teanga Chomharthaíochta na Slóvaice,स्लोवाक सांकेतिक भाषा,Slovački znakovni jezik,Szlovák jelnyelv,Bahasa Isyarat Slovakia,Lingua dei segni slovacca,スロバキア手話,슬로바키아어 수화,Slowaakse gebarentaal,Slovakisk tegnspråk,Słowacki Język Migowy,Língua gestual eslovaca,Limbajul semnelor slovac,Словацкий язык жестов,Lengua de señas eslovaca,Slovački znakovni jezik,Lugha ya Ishara ya Kislovakia,Slovakiskt teckenspråk,ภาษามือสโลวัก,Slovak İşaret Dili,Ngôn ngữ ký hiệu Slovakia
Estonian Sign Language,eso,,爱沙尼亚手语,Estlandse Gebaretaal,لغة الإشارة الإستونية,Llengua de signes estoniana,Estnische Gebärdensprache,Εσθονική Νοηματική Γλώσσα,Viron viittomakieli,Langue des signes estonienne,Teanga Chomharthaíochta na hEastóine,एस्टोनियाई सांकेतिक भाषा,Estonski znakovni jezik,Észt jelnyelv,Bahasa Isyarat Estonia,Lingua dei segni estone,エストニア手話,에스토니아 수화,Estse gebarentaal,Estisk tegnspråk,Estoński język migowy,Língua gestual estónia,Limbajul semnelor estonian,Эстонский жестовый язык,Lengua de señas estonia,Estonski znakovni jezik,Lugha ya Ishara ya Estonia,Estniskt teckenspråk,ภาษามือเอสโตเนีย,Estonya İşaret Dili,Ngôn ngữ ký hiệu Estonia
